Reviewer,Rating,Date,Review
Dede Saputra (Dede),5,3/30/2024 14:15,ok
Made Sulastri,5,3/30/2024 3:19,burgernya emang top... belum ada lawan sih mnrtku sampai skarang
demas fega,1,3/29/2024 16:38,Aneh aplikasi gak mempermudah malah mempersulit. Nyusahinn
Alfiyah Bahady,5,3/29/2024 5:44,Excellent Fast Foods
zain rius,5,3/26/2024 15:53,good
Rizky Widiyanto,1,3/20/2024 4:46,"Crown hanya berlaku 3 bln, McD aja 1th..ada batas max hanya 50 crown, McD g ada batas max..sadar dlu, BK g laku2 amat"
Iffat A. Ahnaf,2,3/14/2024 6:42,Login via phone number but registration via email? That why i can't login at all
Jayadi Sutandi,2,3/13/2024 10:36,Kalau di dalam mall ga detect location ga bisa pesan via app. Di outlet jg ga ada QR codenya. Konyol banget kasi fitur paling ga kasi QR code di depan gitu lah
Darell Ivander,1,3/13/2024 6:51,Masak ayam gorengny ga mateng. Dagingny masih pink. Ampun dah
Laily Ramadhini,1,3/8/2024 2:45,Pemesanan di cancel tapi tanpa pemberitahuan.. Sudah telpon ke burgerking namun tidak ada solusi dan hanya pengembalian uang saja. Ini bukan masalah uangnya tapi waktu pelanggan yang terbuang dikarenaka menunggu yang tidak pasti.
Dicky Yunus,5,3/3/2024 5:29,very practical
Ang,1,2/27/2024 16:06,Masa jam 10 malam udah gak bisa order via app.
Intan Yanita,4,2/25/2024 5:55,thank you kak
Faizi S,1,2/25/2024 3:20,"Sumpah payah, hati2 kalau mau pesen delivery mending pakai Grab/gofood/shopee yg udh jelas. Pesen store dilempar jauh banget pdhl ad yg deket, drivernya g ada yg ambil. Dana refund gajelas balikinnya gak instant 1-14 hari bisa lebih. Capek cuk laper, nunggu lama 2jam baru order dicancel sistem, duit g balik lg."
AR S,3,2/21/2024 9:59,"Preordernya sulit, bagusan modal dulu yang scan langsung di outlet buat pesan di otlet. Pakai GPS connectnya lama banget. Aneh malah mundur kebijakannya"
Bayu Nugroho,1,2/16/2024 16:38,"Tiba2 ga bisa login, wrong mobile number or password. Padahal udah direset. Ga jelas."
Thomas Abraham Uktolseja,5,2/14/2024 9:45,mantab. good idea
Santi Indri Hapsari (Ichigo Toshimiya),1,2/14/2024 6:51,"I don't know why, is it the app are error or because of my internet connection... Whatever is the problem I can't log ini on my account although I already reset my password, still it won't do... So what is the solution??"
Kangmas Nugroho,5,2/11/2024 13:39,good taste
d kuntoro,5,2/11/2024 10:52,nice
Purnomo Setiawan,2,2/11/2024 0:51,Gak bisa klaim kupon selalu not valid
Ferry Tambuku,5,2/10/2024 8:32,Mantul lah..
Anty Darmawan,5,2/3/2024 7:30,Good price & Taste
Erwan Setiawan,5,2/2/2024 2:56,goooooood
Yui Hashimoto,1,2/1/2024 3:03,"Why Burger King asks your customers to register with phone, but, we can't reset password with phone number..?? Why in the member's page, why Burger King doesn't provide all the data about registered Phone & email? It is too much complicated & confusing. I login with my phone but I forgot my password, it says enter my email. Sadly, I also forgot the associated email with that phone number. Please fix it.."
Henri Subiyanto,5,1/28/2024 4:11,easy to use
Candra Samuel,1,1/26/2024 13:22,"Parah nih aplikasi,saya melakukan pesanan tapi ditunggu sejam g datang.tidak ada pemberitahuan dari BK cabang Balikpapan. Setelah sejam,saya telpon ke CS pusat dan alasannya tidak ada driver dan akan cari driver lain.dan jika tidak berhasil maka pesanan akan dicancel. Hello,kami customer tidak ada urusan dengan internal BK dengan delivery kalian karena kami pesannya di aplikasi BK. Kalau g tau jalankan aplikasi lebih baik jangan buat aplikasi"
Fauzi,1,1/9/2024 19:57,"Karena mau sahur dan pilihan terdekat terbatas, pesen BK jam 01.53. Drivernya yg pertama ga bisa di call, abis itu drivernya cancel setelah 10 menitan, driver kedua ga bisa di call juga, ga bales chat, ga ada respond. Kita lihat deh berapa lama nih nunggunya. Ga usah aktifin 24/7 lah ordernya, call centernya aja gak 24 jam"
Andrew Lumi,1,1/2/2024 19:48,"Di keterangan tertulis BK Crown bisa utk Delivery, tapi stlh redeem ternyata hanya bisa utk Dine-In & Takeaway. Reward jd hangus percuma krn gak bisa ninggalin kerja sampai batas wkt penukaran"
Tiffany Yi,3,12/31/2023 10:10,Saya belom download. Belom pernah register. Tapi tau2 nomor saya sudah perna register. Gimana mau log in. Org daftar baru pertama x
Supri Yadi,1,12/30/2023 4:52,"Sdh reset 2 kali passwordnya, masih gak bs login, coba reg ulang no hpnya sdh terdafta, aplikasi sampah"
Linux,3,12/28/2023 1:06,"Harus diubah agar bisa order dimanapun. Ini diset 200m dari resto baru bisa order. Saya sampai di depan restopun tidak bisa order. Kecewa ya. Tidak terdeteksi ada burger king, padahal di depan resto burger king ring road medan."
Tine Martina Winarti,5,12/27/2023 16:22,Craving for burger cheese as seen in last sequel of aquaman .. My family��BK
Simanjuy,5,12/26/2023 2:53,mantab. enak sekali
Yoga L,2,12/23/2023 13:46,"Mau preorder harus jarak 200m, terlalu dekat, sama aja kayak dari dalam Mall besar sampai pintu masuk parkir. Harusnya 3km. Pakai Gopay take away, dengan jarak segitu, bisa sama dengan waktu selesai"
Reynard Jevon,5,12/23/2023 4:17,great app
Frans S,1,12/22/2023 13:09,ribet
Daniel Sihombing,1,12/16/2023 11:45,Cannot login
Irfan Haffianto,1,12/14/2023 11:56,bye bye burger king 
Deasy Tobing,5,12/14/2023 8:15,good
Ari Channel YouTube,5,12/13/2023 5:05,nice apps
Yoga Nugraha,3,12/9/2023 4:20,"Kapan hari sempat down tp skrg udh normal. Kritik buat BK, klo take away jangan acuan jarak. Kesusahan banget klo mau order harus maximum 200m dr store. Mending buat kayak app lain, mau diambil jam brp gt jadi lebih flexibel buat customer. Resiko telat ambil ya tanggungan customer bukan pihak BK harusnya. Jadi patokannya jangan jarak 200m gt. 09 Des 2023 : Menu aplikasi beda2 antara take away sama delivery. Di delivery ada angus, take away nggak ada. Agak aneh dan nggak normal"
Vaness Avril Madayanto,1,12/8/2023 12:49,bad apk. just eror
Prince Sukamto,1,12/6/2023 3:39,"Ini kebiasaan buruk resto diindonesia, gambar sama kenyataan bedanya jauh banget, coba tolong diperbaiki, ini seakan penipuan"
Fenny Santoso,1,12/4/2023 10:56,"Point tdk pernah msk!! Mungkin dimasukkan ke point karyawan sendiri. Mungkin. Alasannya selalu sama... Point Tdk Bisa Masuk skg!! Tunggu 24 jam. Memangnya siapa yg mau menunggu di sana 24 jam hingga point masuk..?? Reward mengumpulkan point, sama saja dg reward buat karyawan sendiri.. Entah msk ke hp karyawan atau hp siapa, tp point tsb hanya bohong2an krn saya berkali2 beli, berkali2 complaint, hanya 1x saja yg bisa lgsg masuk. lainnya Tdk Pernah Masuk..!!!"
Sumitro L. Wijaya,1,12/3/2023 13:30,Why no XL burger menu?
Benny Yustinus,5,12/3/2023 5:07,enaaakkk
Iscar Dan,2,12/2/2023 15:25,"Masih banyak bug, saya gabisa pilih alamat"
Syifa Mutiara,1,11/25/2023 13:15,"KE logout namun tidak bisa masuk lagi. Password salah dan mau forget password malah disuruh cek email padahal di versi sebelumnya tidak daftar pakai email, cuma pake OTP. Gimana dong akun saya? Ada crowns nya banyak juga"
Cam Bridge,1,11/24/2023 3:43,Bad
Arif Dwi Jatmiko,5,11/24/2023 3:25,apps nya bagus
Abizar Rizky Playground,5,11/22/2023 3:08,mantappp promo melimpah
A Google user,1,11/19/2023 4:01,Very bad
